ID_PLAN,DS_PLAN,DS_CITY,TAXONOMIES
138013,Disney100: The Exhibition,Chicago,"Multipurpose center, Low Intensity, Regular, Parents With Kids, Cultured, Any Profile, Any Age, Morning, Afternoon, Evening, Limited Series, Film Festival, Art Gallery, Exhibition"
138026,Concerts Under the Stars - Gift Card,Chicago,"Rooftop, Low Intensity, Regular, Any Profile, Young Adults (18-24), Adults (25-35), Middle-youth (34-45), More Adults (45+), Evening, Night, Timeless, Tribute concert, Small Gig, Valentines Day, Christmas, Mothers Day, Fathers Day"
138385,Candlelight: Holiday Special Featuring “The Nutcracker” & More,Chicago,"Church/Cathedral, Low Intensity, Exclusive, Trendsetter, Cultured, Any Profile, Any Age, Afternoon, Evening, Session Based, Classical Solo & Ensembles, Candlelight concert, Small Gig"
138444,Candlelight: A Tribute to Queen and More at Stan Mansion,Chicago,"Other Indoors, Low Intensity, Exclusive, Trendsetter, Cultured, Any Profile, Any Age, Evening, Session Based, Classical Solo & Ensembles, Candlelight concert, Small Gig"
138697,Retribution AMC Tickets - Chicago,Chicago,"Cinema, Low Intensity, Exclusive, Any Profile, Young Adults (18-24), Adults (25-35), Middle-youth (34-45), More Adults (45+), Any Moment, Timeless, Mainstream Cinema"
138748,Candlelight: A Haunted Evening of Classical Compositions at Bohemian National Cemetery,Chicago,"Other Outdoors, Low Intensity, Exclusive, Trendsetter, Cultured, Any Profile, Any Age, Evening, Session Based, Classical Solo & Ensembles, Candlelight concert, Small Gig, Halloween"
138922,"Candlelight: Holiday Special featuring ""Silent Night, ""Jingle Bells,"" and More",Chicago,"Church/Cathedral, Low Intensity, Exclusive, Trendsetter, Cultured, Any Profile, Any Age, Evening, Session Based, Classical Solo & Ensembles, Candlelight concert, Small Gig, Christmas"
139067,The Equalizer 3 AMC Tickets - Chicago,Chicago,"Cinema, Low Intensity, Exclusive, Any Profile, Young Adults (18-24), Adults (25-35), Middle-youth (34-45), More Adults (45+), Any Moment, Timeless, Mainstream Cinema"
139142,Treehouse Chicago Pizza-Making and Wine Experience,Chicago,"Restaurant, Medium Intensity, Regular, Single, Couple, Group, Trendsetter, Healthy, Foodie, Cultured, Adults (25-35), Middle-youth (34-45), More Adults (45+), Afternoon, Session Based, Italian Food, Wine, Cooking Course"
139226,Chicago Vampire Ball 2023,Chicago,"Other Indoors, Medium Intensity, Regular, Single, Couple, Group, Geek, Hard Party, Local, Any Profile, Young Adults (18-24), Adults (25-35), Middle-youth (34-45), Evening, Night, One Time Event, Dj Party, Themed Party, Halloween"
139474,The Nun II - AMC Tickets - Chicago,Chicago,"Cinema, Low Intensity, Exclusive, Any Profile, Young Adults (18-24), Adults (25-35), Middle-youth (34-45), More Adults (45+), Any Moment, Timeless, Mainstream Cinema"
139475,My Big Fat Greek Wedding 3 AMC Tickets - Chicago,Chicago,"Cinema, Low Intensity, Exclusive, Any Profile, Young Adults (18-24), Adults (25-35), Middle-youth (34-45), More Adults (45+), Any Moment, Timeless, Mainstream Cinema"
139926,A Haunting in Venice AMC Tickets - Chicago,Chicago,"Cinema, Low Intensity, Exclusive, Any Profile, Young Adults (18-24), Adults (25-35), Middle-youth (34-45), More Adults (45+), Any Moment, Timeless, Mainstream Cinema"
139942,Perceptual Experience Interactive Art Exhibition,Chicago,"Other Indoors, Medium Intensity, Regular, Alternative/Hipster, Trendsetter, Fashionista, Cultured, Any Age, Morning, Afternoon, Limited Series, Virtual Reality, Exhibition"
